Rating,Comments,Product Name,scores,type,compound,pos,neg
5,Nice product,omran 7120,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",POS,0.4215,0.737,0.0
4,Value for money,omran 7120,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",POS,0.34,0.545,0.0
5,In time delivery..,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
3,This is better .,omran 7120,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",POS,0.4404,0.592,0.0
5,Nice product and easy to use,omran 7120,"{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.6908}",POS,0.6908,0.588,0.0
1,Bad quality,omran 7120,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",NEG,-0.5423,0.0,0.778
4,Very good pro4,omran 7120,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",POS,0.4927,0.615,0.0
5,this product was very nice. i love it,omran 7120,"{'neg': 0.0, 'neu': 0.398, 'pos': 0.602, 'compound': 0.8211}",POS,0.8211,0.602,0.0
5,Little bit variation in every reading but it is negligible 5 to 10 point it is acceptable. Delivery was fast. Thanks to Snapdeal,omran 7120,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.7783}",POS,0.7783,0.254,0.0
5,Very good product,omran 7120,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",POS,0.4927,0.615,0.0
5,Excellent purchase,omran 7120,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",POS,0.5719,0.787,0.0
5,Pls. Provided with covers,omran 7120,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.0772}",POS,0.0772,0.302,0.0
4,Good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
4,good and cheap product but gives one failure out of 5 time test,omran 7120,"{'neg': 0.271, 'neu': 0.61, 'pos': 0.119, 'compound': -0.5423}",NEG,-0.5423,0.119,0.271
5,Very nice useful,omran 7120,"{'neg': 0.0, 'neu': 0.138, 'pos': 0.862, 'compound': 0.7408}",POS,0.7408,0.862,0.0
5,Good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
4,Good one.. nice product with ease to use approach,omran 7120,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.802}",POS,0.802,0.577,0.0
5,Amazing Product.,omran 7120,"{'neg': 0.0, 'neu': 0.208, 'pos': 0.792, 'compound': 0.5859}",POS,0.5859,0.792,0.0
4,good and fine,omran 7120,"{'neg': 0.0, 'neu': 0.175, 'pos': 0.825, 'compound': 0.5719}",POS,0.5719,0.825,0.0
4,Good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,I bought this . This is an great product. With accurate results. Go for it.  Thanks omron as well as Snapdeal .,omran 7120,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.8442}",POS,0.8442,0.363,0.0
4,Thnks to snapdeal...deal very good.... accuracy to some extent....satisfied by the quality of product,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,Nice product I am using,omran 7120,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",POS,0.4215,0.483,0.0
5,VERY NICE AND EASY TO USE. PROMPT DELIVERY. THANK YOU SNAPDEAL,omran 7120,"{'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.8297}",POS,0.8297,0.523,0.0
3,gtvrbrhrbrh,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,Good working,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,Nice product,omran 7120,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",POS,0.4215,0.737,0.0
5,Good work one-man 7120 blood pressure machine,omran 7120,"{'neg': 0.218, 'neu': 0.495, 'pos': 0.287, 'compound': 0.1779}",POS,0.1779,0.287,0.218
5,Good colecson,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,Good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,After 2 years of use of this product.  . . . Satisfied,omran 7120,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4215}",POS,0.4215,0.286,0.0
4,I love this product..its work very well.,omran 7120,"{'neg': 0.0, 'neu': 0.378, 'pos': 0.622, 'compound': 0.7645}",POS,0.7645,0.622,0.0
5,Go for it...,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
4,I am happy to that my product reached here safely and packing was good,omran 7120,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.8807}",POS,0.8807,0.554,0.0
5,Excellent product,omran 7120,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",POS,0.5719,0.787,0.0
5,Very very good,omran 7120,"{'neg': 0.0, 'neu': 0.366, 'pos': 0.634, 'compound': 0.5379}",POS,0.5379,0.634,0.0
1,The product was not delivered. Received message that the item has been delivered.,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
4,The item is supplied very before the estimated time. Good and thank you.,omran 7120,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.6597}",POS,0.6597,0.329,0.0
3,The padngiven the product is very thin.,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,Useful product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
1,Very bad.. Product work but the  ,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
3,Good but delivery address is far,omran 7120,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.2382}",POS,0.2382,0.281,0.0
4,Value of money,omran 7120,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",POS,0.34,0.545,0.0
5,Very good product,omran 7120,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",POS,0.4927,0.615,0.0
4,Nice product,omran 7120,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",POS,0.4215,0.737,0.0
4,good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
4,Measures almost accurate. Serves the need and value for money.,omran 7120,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}",POS,0.34,0.211,0.0
5,Ver very very very Good,omran 7120,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.5768}",POS,0.5768,0.483,0.0
4,very good product for health,omran 7120,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4927}",POS,0.4927,0.444,0.0
5,I m satisfied.,omran 7120,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",POS,0.4215,1.0,0.0
1,Very sad this product,omran 7120,"{'neg': 0.531, 'neu': 0.469, 'pos': 0.0, 'compound': -0.5256}",NEG,-0.5256,0.0,0.531
5,Very nice product,omran 7120,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",POS,0.4754,0.607,0.0
4,GOOD PRODUCT,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,Veery good product,omran 7120,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",POS,0.4404,0.592,0.0
5,"Great Support by Snapdeal for superfast delivery. As for the product, OMRON is the best in market.",omran 7120,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.9001}",POS,0.9001,0.44,0.0
5,Awesome product,omran 7120,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",POS,0.6249,0.804,0.0
5,Its a very good quality product. This product more useful those person who suffer by high or low blood pressure. And I thanks to snapdeal for given me best quality and fast delivery.,omran 7120,"{'neg': 0.172, 'neu': 0.53, 'pos': 0.298, 'compound': 0.7708}",POS,0.7708,0.298,0.172
5,Nice gooood plesaes purhrses this item,omran 7120,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}",POS,0.4215,0.359,0.0
5,Super quality,omran 7120,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",POS,0.5994,0.796,0.0
5,Nice oneBP operator is super,omran 7120,"{'neg': 0.0, 'neu': 0.309, 'pos': 0.691, 'compound': 0.7717}",POS,0.7717,0.691,0.0
5,Exillent  and fully satisfied with product.,omran 7120,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.4754}",POS,0.4754,0.382,0.0
4,They should give a monitor cover along with it with this price range,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,Great browsing,omran 7120,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",POS,0.6249,0.804,0.0
5,"since last one year, no issues.",omran 7120,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",NEG,-0.296,0.0,0.306
5,So easey to use,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,Thanks snepdeal,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
1,Package was old and was looking like it is used product,omran 7120,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",POS,0.3612,0.2,0.0
4,ProductProducts good worth for money,omran 7120,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.5859}",POS,0.5859,0.615,0.0
5,Nice product..keep it up,omran 7120,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",POS,0.4215,0.483,0.0
5,"Good instrument,perfect monitoring",omran 7120,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",POS,0.4404,0.592,0.0
4,Product is good and easy to USE.,omran 7120,"{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.7003}",POS,0.7003,0.537,0.0
5,Good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,"The product has been delivered quickly. The pressure measurement is also consistent, but one has to place his arm properly in sitting position.",omran 7120,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.1531}",NEG,-0.1531,0.0,0.068
4,Packing was very good.,omran 7120,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",POS,0.4927,0.516,0.0
5,Very first and acurate result display in this machine,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
4,No problems with it . Very good working . Measures blood pressure accurately and quickly. Extremely helpful product.,omran 7120,"{'neg': 0.291, 'neu': 0.451, 'pos': 0.258, 'compound': 0.048}",POS,0.048,0.258,0.291
5,Delivery status no updates on website only after two days,omran 7120,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}",NEG,-0.296,0.0,0.196
5,Best product,omran 7120,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",POS,0.6369,0.808,0.0
3,Sometimes give wrong measurement,omran 7120,"{'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}",NEG,-0.4767,0.0,0.508
4,Nice service and good product,omran 7120,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.6908}",POS,0.6908,0.655,0.0
4,Good product worth buying,omran 7120,"{'neg': 0.0, 'neu': 0.294, 'pos': 0.706, 'compound': 0.5859}",POS,0.5859,0.706,0.0
5,Excellent purchasing experience. delivery was made  few days before the committed date.,omran 7120,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.7003}",POS,0.7003,0.367,0.0
5,"GOOD PRODUCT AND DELIVERY, THANKU SNAPDEAL",omran 7120,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",POS,0.4404,0.367,0.0
5,The instrument works perfectly.,omran 7120,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",POS,0.6369,0.583,0.0
5,Its a good product... It is very helpfull... On time delivery... 👍👍,omran 7120,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",POS,0.4404,0.225,0.0
5,Delivery was on time with safe material.,omran 7120,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",POS,0.4404,0.326,0.0
5,I first time use omron product BP machine.  I like it.,omran 7120,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",POS,0.3612,0.238,0.0
1,This product is after one month not working well,omran 7120,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.2057}",NEG,-0.2057,0.0,0.185
5,I want one more,omran 7120,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.0772}",POS,0.0772,0.394,0.0
5,Speed delivery in just 3-4 days,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,I received it three days after order and it was in an excellent condition.,omran 7120,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5719}",POS,0.5719,0.236,0.0
5,the things delivered which I ordered...no hera-pheri ,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
4,Delivered on time... reading is also quite good..branded & attractive...,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
1,PRODUCT IS TOTALLY WORTHLESS ,omran 7120,"{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.4927}",NEG,-0.4927,0.0,0.516
2,inaccurate,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,Thanks for snapdl,omran 7120,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",POS,0.4404,0.592,0.0
5,Perfect Product,omran 7120,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",POS,0.5719,0.787,0.0
4,Measurement is awsome,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,Overall its good and easy to use. Accurate results. Only drawback is not saving more than one entry. It should store al least 10 entries. Nevermind.  Recommended product.,omran 7120,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.765}",POS,0.765,0.233,0.0
5,Very good and genuine product,omran 7120,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4927}",POS,0.4927,0.444,0.0
5,Thank you Snapdeal for immediate delivery.,omran 7120,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",POS,0.3612,0.333,0.0
5,good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,"very quick,fast accurate comparing to my previous monitor. good product",omran 7120,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",POS,0.4404,0.244,0.0
5,good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,good product in this price,omran 7120,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",POS,0.4404,0.42,0.0
4,very good product,omran 7120,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",POS,0.4927,0.615,0.0
5,"Great product...i got the product very early i mean 3 or 4 days before deliver date..product works perfectly,in the box you will also get battery for the machine,if you want a good blood pressure machine in affordable price then you should with that",omran 7120,"{'neg': 0.048, 'neu': 0.769, 'pos': 0.182, 'compound': 0.7269}",POS,0.7269,0.182,0.048
4,Item as per specification. Quick delivery.,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
4,Good display and good results,omran 7120,"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",POS,0.7003,0.659,0.0
5,Very good........,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,"Good,Perfect.",omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,Very useful,omran 7120,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4927}",POS,0.4927,0.762,0.0
1,Don't buy it's waste of money,omran 7120,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.3252}",POS,0.3252,0.318,0.0
5,i am happy about this product is accurate,omran 7120,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.5719}",POS,0.5719,0.381,0.0
1,No Debit Card Option to pay on COD,omran 7120,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.3818}",NEG,-0.3818,0.0,0.375
4,"It's vry nice ... one touch reading,vry easy to work... that's fantastic product...Good deal with snapdeal .. thanku snapdeal",omran 7120,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.8519}",POS,0.8519,0.368,0.0
4,its the same as shown in the photos worth buying this. Really good product go for it.,omran 7120,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.624}",POS,0.624,0.253,0.0
5,"best product, worth price",omran 7120,"{'neg': 0.0, 'neu': 0.247, 'pos': 0.753, 'compound': 0.7269}",POS,0.7269,0.753,0.0
5,WOW TO SELLER,omran 7120,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.5859}",POS,0.5859,0.655,0.0
4,GOOD PRODUCT BUT SOMETIME READING IS NOT SHOWING. WE NEED TO DO MULTIPLE TIMES TO GET READING.,omran 7120,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.2382}",POS,0.2382,0.109,0.0
4,Good product at good price,omran 7120,"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",POS,0.7003,0.659,0.0
4,This product help me on medical behalf,omran 7120,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}",POS,0.4019,0.31,0.0
5,Love it. Its much more than as expected.,omran 7120,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",POS,0.6369,0.375,0.0
