Rating,Comments,Product Name,sentiment
5,"Amazing and accurate machine with great packaging by Snapdeal,luv to see it it will be great ahead if charger include ,ok fine enough worth of money",omran 7120,"{'label': '5 stars', 'score': 0.8900498747825623}"
5,Good product... Gave almost same measurements in a day at multiple ti,omran 7120,"{'label': '5 stars', 'score': 0.598063051700592}"
5,Iam so satisfied with this now iam no worry about my blood pressure and I suggest buy this product from snapdeal,omran 7120,"{'label': '5 stars', 'score': 0.8882179260253906}"
5,I LOVE SNAPDEAL SERVICE . AND PRODUCT ALSO GOOD.,omran 7120,"{'label': '5 stars', 'score': 0.8449962139129639}"
5,Awsome product,omran 7120,"{'label': '5 stars', 'score': 0.6997915506362915}"
5,GOOD AND EASY TO OPERATE,omran 7120,"{'label': '5 stars', 'score': 0.8543275594711304}"
4,Very very nice,omran 7120,"{'label': '5 stars', 'score': 0.895203173160553}"
5,Delivered good,omran 7120,"{'label': '5 stars', 'score': 0.6803803443908691}"
5,Very good and nice quality,omran 7120,"{'label': '5 stars', 'score': 0.9001686573028564}"
4,Good product,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
5,Nice. Its working,omran 7120,"{'label': '5 stars', 'score': 0.6543715596199036}"
4,very good product,omran 7120,"{'label': '5 stars', 'score': 0.8575653433799744}"
5,Using it since Dec. 2015. Still working properly.,omran 7120,"{'label': '5 stars', 'score': 0.7193581461906433}"
4,Good Product and Good Work,omran 7120,"{'label': '5 stars', 'score': 0.7695808410644531}"
5,"Received before time but the warranty card has not been stamped, can u plz help for the same .",omran 7120,"{'label': '5 stars', 'score': 0.7338301539421082}"
4,Good product,omran 7120,"{'label': '5 stars', 'score': 0.7033679485321045}"
5,Received timely and good product,omran 7120,"{'label': '5 stars', 'score': 0.6624335050582886}"
4,Reasonable price,omran 7120,"{'label': '5 stars', 'score': 0.8771629929542542}"
5,good product,omran 7120,"{'label': '5 stars', 'score': 0.7346137762069702}"
5,Nice product,omran 7120,"{'label': '5 stars', 'score': 0.8658918738365173}"
4,Value for money,omran 7120,"{'label': '5 stars', 'score': 0.70924311876297}"
5,In time delivery..,omran 7120,"{'label': '5 stars', 'score': 0.5963615775108337}"
3,This is better .,omran 7120,"{'label': '5 stars', 'score': 0.8963901400566101}"
5,Nice product and easy to use,omran 7120,"{'label': '5 stars', 'score': 0.7904239296913147}"
1,Bad quality,omran 7120,"{'label': '1 star', 'score': 0.45705631375312805}"
4,Very good pro4,omran 7120,"{'label': '5 stars', 'score': 0.9091563820838928}"
5,this product was very nice. i love it,omran 7120,"{'label': '4 stars', 'score': 0.5756027102470398}"
5,Little bit variation in every reading but it is negligible 5 to 10 point it is acceptable. Delivery was fast. Thanks to Snapdeal,omran 7120,"{'label': '3 stars', 'score': 0.8960301280021667}"
5,Very good product,omran 7120,"{'label': '5 stars', 'score': 0.8631612062454224}"
5,Excellent purchase,omran 7120,"{'label': '5 stars', 'score': 0.8604174256324768}"
5,Pls. Provided with covers,omran 7120,"{'label': '5 stars', 'score': 0.9051640629768372}"
4,Good product,omran 7120,"{'label': '5 stars', 'score': 0.8575653433799744}"
4,good and cheap product but gives one failure out of 5 time test,omran 7120,"{'label': '5 stars', 'score': 0.475581556558609}"
5,Very nice useful,omran 7120,"{'label': '5 stars', 'score': 0.782800555229187}"
5,Good product,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
4,Good one.. nice product with ease to use approach,omran 7120,"{'label': '5 stars', 'score': 0.8276485800743103}"
5,Amazing Product.,omran 7120,"{'label': '1 star', 'score': 0.29131314158439636}"
4,good and fine,omran 7120,"{'label': '5 stars', 'score': 0.6953895092010498}"
4,Good product,omran 7120,"{'label': '5 stars', 'score': 0.6395663022994995}"
5,I bought this . This is an great product. With accurate results. Go for it.  Thanks omron as well as Snapdeal .,omran 7120,"{'label': '5 stars', 'score': 0.8599697947502136}"
4,Thnks to snapdeal...deal very good.... accuracy to some extent....satisfied by the quality of product,omran 7120,"{'label': '3 stars', 'score': 0.35708707571029663}"
5,Nice product I am using,omran 7120,"{'label': '5 stars', 'score': 0.8119664192199707}"
5,VERY NICE AND EASY TO USE. PROMPT DELIVERY. THANK YOU SNAPDEAL,omran 7120,"{'label': '5 stars', 'score': 0.6985148191452026}"
3,gtvrbrhrbrh,omran 7120,"{'label': '5 stars', 'score': 0.8979504108428955}"
5,Good working,omran 7120,"{'label': '5 stars', 'score': 0.8543803691864014}"
5,Nice product,omran 7120,"{'label': '5 stars', 'score': 0.8575653433799744}"
5,Good work one-man 7120 blood pressure machine,omran 7120,"{'label': '5 stars', 'score': 0.6684689521789551}"
5,Good colecson,omran 7120,"{'label': '5 stars', 'score': 0.9440022706985474}"
5,Good product,omran 7120,"{'label': '5 stars', 'score': 0.6782699823379517}"
5,After 2 years of use of this product.  . . . Satisfied,omran 7120,"{'label': '5 stars', 'score': 0.7814589142799377}"
4,I love this product..its work very well.,omran 7120,"{'label': '5 stars', 'score': 0.7507418990135193}"
5,Go for it...,omran 7120,"{'label': '4 stars', 'score': 0.518667995929718}"
4,I am happy to that my product reached here safely and packing was good,omran 7120,"{'label': '5 stars', 'score': 0.8675917983055115}"
5,Excellent product,omran 7120,"{'label': '5 stars', 'score': 0.9349440932273865}"
5,Very very good,omran 7120,"{'label': '4 stars', 'score': 0.5246832966804504}"
1,The product was not delivered. Received message that the item has been delivered.,omran 7120,"{'label': '5 stars', 'score': 0.38899490237236023}"
4,The item is supplied very before the estimated time. Good and thank you.,omran 7120,"{'label': '5 stars', 'score': 0.7393203973770142}"
3,The padngiven the product is very thin.,omran 7120,"{'label': '5 stars', 'score': 0.9282993674278259}"
5,Useful product,omran 7120,"{'label': '5 stars', 'score': 0.6457815170288086}"
1,Very bad.. Product work but the  ,omran 7120,"{'label': '5 stars', 'score': 0.9292914271354675}"
3,Good but delivery address is far,omran 7120,"{'label': '5 stars', 'score': 0.7257531881332397}"
4,Value of money,omran 7120,"{'label': '5 stars', 'score': 0.7701202034950256}"
5,Very good product,omran 7120,"{'label': '5 stars', 'score': 0.8575653433799744}"
4,Nice product,omran 7120,"{'label': '5 stars', 'score': 0.668532133102417}"
4,good product,omran 7120,"{'label': '5 stars', 'score': 0.9535059928894043}"
4,Measures almost accurate. Serves the need and value for money.,omran 7120,"{'label': '5 stars', 'score': 0.6792017221450806}"
5,Ver very very very Good,omran 7120,"{'label': '5 stars', 'score': 0.8609345555305481}"
4,very good product for health,omran 7120,"{'label': '5 stars', 'score': 0.7172594666481018}"
5,I m satisfied.,omran 7120,"{'label': '5 stars', 'score': 0.9396741390228271}"
1,Very sad this product,omran 7120,"{'label': '5 stars', 'score': 0.9308661222457886}"
5,Very nice product,omran 7120,"{'label': '5 stars', 'score': 0.7003554105758667}"
4,GOOD PRODUCT,omran 7120,"{'label': '5 stars', 'score': 0.7170295715332031}"
5,Veery good product,omran 7120,"{'label': '5 stars', 'score': 0.5559481978416443}"
5,"Great Support by Snapdeal for superfast delivery. As for the product, OMRON is the best in market.",omran 7120,"{'label': '5 stars', 'score': 0.7830151319503784}"
5,Awesome product,omran 7120,"{'label': '5 stars', 'score': 0.8952357769012451}"
5,Its a very good quality product. This product more useful those person who suffer by high or low blood pressure. And I thanks to snapdeal for given me best quality and fast delivery.,omran 7120,"{'label': '1 star', 'score': 0.8861521482467651}"
5,Nice gooood plesaes purhrses this item,omran 7120,"{'label': '5 stars', 'score': 0.8073284029960632}"
5,Super quality,omran 7120,"{'label': '4 stars', 'score': 0.384815514087677}"
5,Nice oneBP operator is super,omran 7120,"{'label': '5 stars', 'score': 0.6484116315841675}"
5,Exillent  and fully satisfied with product.,omran 7120,"{'label': '5 stars', 'score': 0.9113754630088806}"
4,They should give a monitor cover along with it with this price range,omran 7120,"{'label': '5 stars', 'score': 0.815751850605011}"
5,Great browsing,omran 7120,"{'label': '5 stars', 'score': 0.6863766312599182}"
5,"since last one year, no issues.",omran 7120,"{'label': '5 stars', 'score': 0.46474704146385193}"
5,So easey to use,omran 7120,"{'label': '5 stars', 'score': 0.9017426371574402}"
5,Thanks snepdeal,omran 7120,"{'label': '1 star', 'score': 0.48807263374328613}"
1,Package was old and was looking like it is used product,omran 7120,"{'label': '5 stars', 'score': 0.7348553538322449}"
4,ProductProducts good worth for money,omran 7120,"{'label': '5 stars', 'score': 0.9369466304779053}"
5,Nice product..keep it up,omran 7120,"{'label': '5 stars', 'score': 0.6104262471199036}"
5,"Good instrument,perfect monitoring",omran 7120,"{'label': '5 stars', 'score': 0.8311870098114014}"
4,Product is good and easy to USE.,omran 7120,"{'label': '4 stars', 'score': 0.5323020219802856}"
5,Good product,omran 7120,"{'label': '1 star', 'score': 0.3590937852859497}"
5,"The product has been delivered quickly. The pressure measurement is also consistent, but one has to place his arm properly in sitting position.",omran 7120,"{'label': '5 stars', 'score': 0.8928484916687012}"
4,Packing was very good.,omran 7120,"{'label': '2 stars', 'score': 0.45118775963783264}"
5,Very first and acurate result display in this machine,omran 7120,"{'label': '5 stars', 'score': 0.5618103742599487}"
4,No problems with it . Very good working . Measures blood pressure accurately and quickly. Extremely helpful product.,omran 7120,"{'label': '5 stars', 'score': 0.8819089531898499}"
5,Delivery status no updates on website only after two days,omran 7120,"{'label': '4 stars', 'score': 0.5320429801940918}"
5,Best product,omran 7120,"{'label': '5 stars', 'score': 0.9281859993934631}"
3,Sometimes give wrong measurement,omran 7120,"{'label': '5 stars', 'score': 0.732665479183197}"
4,Nice service and good product,omran 7120,"{'label': '5 stars', 'score': 0.6551288366317749}"
4,Good product worth buying,omran 7120,"{'label': '5 stars', 'score': 0.6781492233276367}"
5,Excellent purchasing experience. delivery was made  few days before the committed date.,omran 7120,"{'label': '5 stars', 'score': 0.8565556406974792}"
5,"GOOD PRODUCT AND DELIVERY, THANKU SNAPDEAL",omran 7120,"{'label': '5 stars', 'score': 0.944373369216919}"
5,The instrument works perfectly.,omran 7120,"{'label': '5 stars', 'score': 0.47625061869621277}"
5,Its a good product... It is very helpfull... On time delivery... 👍👍,omran 7120,"{'label': '5 stars', 'score': 0.7925584316253662}"
5,Delivery was on time with safe material.,omran 7120,"{'label': '5 stars', 'score': 0.6034133434295654}"
5,I first time use omron product BP machine.  I like it.,omran 7120,"{'label': '5 stars', 'score': 0.8323083519935608}"
1,This product is after one month not working well,omran 7120,"{'label': '5 stars', 'score': 0.8118690848350525}"
5,I want one more,omran 7120,"{'label': '5 stars', 'score': 0.8607720732688904}"
5,Speed delivery in just 3-4 days,omran 7120,"{'label': '5 stars', 'score': 0.9403794407844543}"
5,I received it three days after order and it was in an excellent condition.,omran 7120,"{'label': '3 stars', 'score': 0.9057888984680176}"
5,the things delivered which I ordered...no hera-pheri ,omran 7120,"{'label': '5 stars', 'score': 0.9081220626831055}"
4,Delivered on time... reading is also quite good..branded & attractive...,omran 7120,"{'label': '5 stars', 'score': 0.5884515643119812}"
1,PRODUCT IS TOTALLY WORTHLESS ,omran 7120,"{'label': '5 stars', 'score': 0.8316779136657715}"
2,inaccurate,omran 7120,"{'label': '5 stars', 'score': 0.805667519569397}"
5,Thanks for snapdl,omran 7120,"{'label': '5 stars', 'score': 0.934115469455719}"
5,Perfect Product,omran 7120,"{'label': '5 stars', 'score': 0.7403354644775391}"
4,Measurement is awsome,omran 7120,"{'label': '5 stars', 'score': 0.8850466012954712}"
5,Overall its good and easy to use. Accurate results. Only drawback is not saving more than one entry. It should store al least 10 entries. Nevermind.  Recommended product.,omran 7120,"{'label': '5 stars', 'score': 0.8243991136550903}"
5,Very good and genuine product,omran 7120,"{'label': '4 stars', 'score': 0.6139963269233704}"
5,Thank you Snapdeal for immediate delivery.,omran 7120,"{'label': '5 stars', 'score': 0.7171258330345154}"
5,good product,omran 7120,"{'label': '5 stars', 'score': 0.9478655457496643}"
5,"very quick,fast accurate comparing to my previous monitor. good product",omran 7120,"{'label': '5 stars', 'score': 0.7835388779640198}"
5,good product,omran 7120,"{'label': '5 stars', 'score': 0.6952531933784485}"
5,good product in this price,omran 7120,"{'label': '5 stars', 'score': 0.9189609289169312}"
4,very good product,omran 7120,"{'label': '5 stars', 'score': 0.8666011095046997}"
5,"Great product...i got the product very early i mean 3 or 4 days before deliver date..product works perfectly,in the box you will also get battery for the machine,if you want a good blood pressure machine in affordable price then you should with that",omran 7120,"{'label': '5 stars', 'score': 0.9363706111907959}"
4,Item as per specification. Quick delivery.,omran 7120,"{'label': '5 stars', 'score': 0.9358302354812622}"
4,Good display and good results,omran 7120,"{'label': '5 stars', 'score': 0.5487996339797974}"
5,Very good........,omran 7120,"{'label': '4 stars', 'score': 0.44260939955711365}"
5,"Good,Perfect.",omran 7120,"{'label': '5 stars', 'score': 0.8287146687507629}"
5,Very useful,omran 7120,"{'label': '5 stars', 'score': 0.8265913724899292}"
1,Don't buy it's waste of money,omran 7120,"{'label': '5 stars', 'score': 0.7934143543243408}"
5,i am happy about this product is accurate,omran 7120,"{'label': '5 stars', 'score': 0.802070677280426}"
1,No Debit Card Option to pay on COD,omran 7120,"{'label': '3 stars', 'score': 0.3153277337551117}"
4,"It's vry nice ... one touch reading,vry easy to work... that's fantastic product...Good deal with snapdeal .. thanku snapdeal",omran 7120,"{'label': '5 stars', 'score': 0.8157593011856079}"
4,its the same as shown in the photos worth buying this. Really good product go for it.,omran 7120,"{'label': '5 stars', 'score': 0.8586465120315552}"
5,"best product, worth price",omran 7120,"{'label': '5 stars', 'score': 0.823972761631012}"
5,WOW TO SELLER,omran 7120,"{'label': '4 stars', 'score': 0.6455144882202148}"
4,GOOD PRODUCT BUT SOMETIME READING IS NOT SHOWING. WE NEED TO DO MULTIPLE TIMES TO GET READING.,omran 7120,"{'label': '5 stars', 'score': 0.9527606964111328}"
4,Good product at good price,omran 7120,"{'label': '5 stars', 'score': 0.9000686407089233}"
4,This product help me on medical behalf,omran 7120,"{'label': '5 stars', 'score': 0.9497508406639099}"
5,Love it. Its much more than as expected.,omran 7120,"{'label': '5 stars', 'score': 0.9125514030456543}"
5,This gadget gives accurate results. I am completely satisfied with the purchase.,omran 7120,"{'label': '4 stars', 'score': 0.6040130257606506}"
5,Really amazing product. Purely branded and good performance. I really impressed with the product.,omran 7120,"{'label': '5 stars', 'score': 0.6390190720558167}"
5,It's very accurate to monitor bp highly recommend and affordable price by snap deal.belt is little shorter but rest is ok,omran 7120,"{'label': '5 stars', 'score': 0.6470510959625244}"
4,Easy to use. But lil bit big as compare to my wrist bp machine. But over all good experience. Working properly.,omran 7120,"{'label': '5 stars', 'score': 0.8059724569320679}"
5,I like this product,omran 7120,"{'label': '5 stars', 'score': 0.9510754346847534}"
5,Perfect Model with showing exact readings as compared with rossmax manual bp apparatus,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
4,"I use this monitor easy to use.  About accuracy i don't know. Run on 4 AA battery, having dc adaptor socket provided,  No adaptor with pack u have to purches it saperately. Overall nice thing each one have to have at there home as basic essential.",omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
4,Thnx omron,omran 7120,"{'label': '1 star', 'score': 0.3626725971698761}"
5,I Use This Blood Pressure Monitor many time and get perfect result,omran 7120,"{'label': '5 stars', 'score': 0.8720712065696716}"
5,Is it possible to supply carpet to my address supply,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
5,"Good product, works well and is pretty easy to use",omran 7120,"{'label': '5 stars', 'score': 0.9215486645698547}"
5,"Reasonable price, very good result",omran 7120,"{'label': '5 stars', 'score': 0.8578246235847473}"
5,Good product in that range. Faster delivery and good packing.,omran 7120,"{'label': '5 stars', 'score': 0.7107464671134949}"
5,Product was good.,omran 7120,"{'label': '5 stars', 'score': 0.9632331728935242}"
4,An excellent machine. The results are very close to that of mercury machine. I was advised by my doctor to purchase the machine. In fact he selected the model /type of the machine. I'm happy I followed his advice.,omran 7120,"{'label': '5 stars', 'score': 0.6364215016365051}"
5,God additional 10% discount on HDFC card Friday deals. Was Delivered in 6 days. Time will say on quality of product.,omran 7120,"{'label': '4 stars', 'score': 0.645500898361206}"
5,Nyc product,omran 7120,"{'label': '5 stars', 'score': 0.9149575233459473}"
5,Very nice product at a decent price.,omran 7120,"{'label': '5 stars', 'score': 0.892314076423645}"
5,Good Product,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
3,This product is 2 good for checking bp...I loved it,omran 7120,"{'label': '5 stars', 'score': 0.8049770593643188}"
5,This product is amazing...it monitors heart rate as well with full accuracy. Love this product.,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
5,Very good product,omran 7120,"{'label': '5 stars', 'score': 0.667100191116333}"
5,Snapdeal ...... The best.  Go for it,omran 7120,"{'label': '5 stars', 'score': 0.8575653433799744}"
5,"Omron Hem-7120 Blood pressure monitor showing blood pressure count is 99% correct. I have cheked and compared this monitor with other hospital blood pressure monitor, both are equal ! really  preferble item .",omran 7120,"{'label': '5 stars', 'score': 0.9419795870780945}"
4,nice in look and good product,omran 7120,"{'label': '5 stars', 'score': 0.7737472653388977}"
5,thanks for your quick responce and for the good services....................................................................,omran 7120,"{'label': '5 stars', 'score': 0.6733558177947998}"
5,very useful in day to day checkup,omran 7120,"{'label': '5 stars', 'score': 0.8374772071838379}"
4,Satisfied with the product,omran 7120,"{'label': '5 stars', 'score': 0.9046055674552917}"
3,Really good service,omran 7120,"{'label': '5 stars', 'score': 0.8757714033126831}"
3,product quality and price is very good. but delivery too late. I was order on 10/12/16,omran 7120,"{'label': '1 star', 'score': 0.9289572238922119}"
4,Omron BP monitor is good. Deal was excellent. Packaging should have been much better. bit disappointment on the packaging.,omran 7120,"{'label': '5 stars', 'score': 0.7357544898986816}"
5,Good!best product,omran 7120,"{'label': '1 star', 'score': 0.5834561586380005}"
4,Good product. Easy to use. Must have product,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
1,BP LEVEL CHANGED EVERY TIME FOR A SAME PERSON. I GO TO A DOCTOR'S CHAMBER. HE CHECKED MY BP 160/82 BUT OMRON 7120 SHOWED EVERY TIME DIFFERENT VALUE. VERY BAD PRODUCT.,omran 7120,"{'label': '5 stars', 'score': 0.6650123000144958}"
5,"Good one, worth buying!",omran 7120,"{'label': '5 stars', 'score': 0.9719588160514832}"
5,Very fine quality of product but poor packing. I received it in loose and broken packing.,omran 7120,"{'label': '5 stars', 'score': 0.7708560824394226}"
4,Working Satisfactory,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
5,Very nice effective and usefuul machine. Snapdeal great,omran 7120,"{'label': '5 stars', 'score': 0.9259864091873169}"
5,Very nicesuperb qualty,omran 7120,"{'label': '5 stars', 'score': 0.6357427835464478}"
4,product is good in range and good delivery by snapdeal,omran 7120,"{'label': '5 stars', 'score': 0.7193948030471802}"
5,accurate 99% only,omran 7120,"{'label': '5 stars', 'score': 0.9165967106819153}"
5,Nice packing and  also 75% accuracy.,omran 7120,"{'label': '5 stars', 'score': 0.5141127109527588}"
3,Very fragile button and body,omran 7120,"{'label': '5 stars', 'score': 0.5333046317100525}"
5,Good quality and True value of Money product. I like it.,omran 7120,"{'label': '5 stars', 'score': 0.6937230825424194}"
5,original product; delivered on time (actually before..:) ); excellent experience every time since 3 years..,omran 7120,"{'label': '5 stars', 'score': 0.6353464722633362}"
5,Product is good let us see how it performs,omran 7120,"{'label': '5 stars', 'score': 0.5432106256484985}"
5,Happy with the purchase.product is as described and it works fine,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
5,Excellent product for B P patient. But shows some error reading if checking is done several times in a day. Perfect reading if monitor once a day in a regular time.,omran 7120,"{'label': '5 stars', 'score': 0.7642860412597656}"
3,Its calculator is not upto the mark.,omran 7120,"{'label': '5 stars', 'score': 0.9398642778396606}"
4,Very nice product. Quick delivery,omran 7120,"{'label': '5 stars', 'score': 0.6554113030433655}"
1,NOT AS EXPECTED,omran 7120,"{'label': '5 stars', 'score': 0.7786352038383484}"
5,good....................,omran 7120,"{'label': '5 stars', 'score': 0.9539818167686462}"
5,good Product,omran 7120,"{'label': '5 stars', 'score': 0.8751300573348999}"
5,Well had many bad experiences with snapdeal but this transaction was smooth and a very good product was delivered. Good work snap deal and u improved a lot.,omran 7120,"{'label': '1 star', 'score': 0.8348391056060791}"
1,i am 20 year old its showing my bp is 201/110 ..................too funny,omran 7120,"{'label': '5 stars', 'score': 0.7426462173461914}"
5,"Good product, good service",omran 7120,"{'label': '1 star', 'score': 0.45664942264556885}"
4,Good n convenient,omran 7120,"{'label': '5 stars', 'score': 0.6407278776168823}"
5,+-5% Accuracy,omran 7120,"{'label': '1 star', 'score': 0.5540936589241028}"
3,But accuracy is issue with this monitor,omran 7120,"{'label': '4 stars', 'score': 0.6034595370292664}"
5,Delivary is excellent considering remotness.,omran 7120,"{'label': '5 stars', 'score': 0.7127646207809448}"
5,Shows Blood Pressure and HeartRate,omran 7120,"{'label': '5 stars', 'score': 0.8575653433799744}"
5,Quality product and delivery is exactly i was expect,omran 7120,"{'label': '5 stars', 'score': 0.6937230825424194}"
4,Omron is branded company worth it,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
5,VERY GOOD PRODUCT,omran 7120,"{'label': '5 stars', 'score': 0.668248176574707}"
4,SATISFIED WITH THE PRODUCT.,omran 7120,"{'label': '5 stars', 'score': 0.8196022510528564}"
5,it is perfect,omran 7120,"{'label': '5 stars', 'score': 0.8051186203956604}"
4,Good u can buy,omran 7120,"{'label': '5 stars', 'score': 0.5851220488548279}"
5,Worth buying,omran 7120,"{'label': '1 star', 'score': 0.899122416973114}"
5,Nice product. Product as mentioned.,omran 7120,"{'label': '5 stars', 'score': 0.8771629929542542}"
4,Good for Home,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
5,fully satisfied purchase,omran 7120,"{'label': '5 stars', 'score': 0.6340394020080566}"
5,Best product for home use and also snapdeal delivery was as usual super,omran 7120,"{'label': '5 stars', 'score': 0.9136817455291748}"
5,nice product and very useful,omran 7120,"{'label': '5 stars', 'score': 0.944373369216919}"
5,Its a good range you have there. Even though the model which doctor recommended 7213 was not present.,omran 7120,"{'label': '5 stars', 'score': 0.9186947345733643}"
5,Very simple and user friendly for any body to use to find their blood pressure. There is no need to have a stethoscope to find the pulse. Thanks to omron and special thanks to Snap Deal. Excellent pack and delivery.,omran 7120,"{'label': '5 stars', 'score': 0.7523691058158875}"
4,I am happy after purchase this from snapdeal.,omran 7120,"{'label': '5 stars', 'score': 0.9347733855247498}"
4,WODER FUL PRODUCT,omran 7120,"{'label': '5 stars', 'score': 0.8545635938644409}"
5,no complaints so far,omran 7120,"{'label': '5 stars', 'score': 0.8833337426185608}"
5,Very nice product. Good transit packaging by snapdeal.,omran 7120,"{'label': '5 stars', 'score': 0.47845402359962463}"
5,Awesome product,omran 7120,"{'label': '5 stars', 'score': 0.8487198948860168}"
5,Product is excellent but sipping is late.,omran 7120,"{'label': '5 stars', 'score': 0.7906454205513}"
5,"Its good accurate machine and delivery on time,good experience wuth best pricing",omran 7120,"{'label': '5 stars', 'score': 0.6955977082252502}"
5,i am satisfied,omran 7120,"{'label': '5 stars', 'score': 0.6964155435562134}"
5,very good as advertised,omran 7120,"{'label': '5 stars', 'score': 0.4816214144229889}"
4,"Very good product , useful for home usage",omran 7120,"{'label': '5 stars', 'score': 0.6664190292358398}"
4,VERY GOOD PRODUCT AND THAT TOO AT REASONABLE PRICE,omran 7120,"{'label': '5 stars', 'score': 0.69354647397995}"
5,"User friendly, awesome product....",omran 7120,"{'label': '5 stars', 'score': 0.8422869443893433}"
3,Average product. Readings not reliable...Changes frequently...,omran 7120,"{'label': '5 stars', 'score': 0.803549587726593}"
5,Delivered in time. The product received in perfect condition and at the competitive price.,omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
1,Good service snapdeal,omran 7120,"{'label': '4 stars', 'score': 0.502335786819458}"
5,It is good. Simple and convenient. Easy to use. It is reliable.,omran 7120,"{'label': '5 stars', 'score': 0.7176476716995239}"
5,"Product is good, compact & reliable, fast delivery by snapdeal  👍",omran 7120,"{'label': '5 stars', 'score': 0.8038685917854309}"
5,easy to use,omran 7120,"{'label': '5 stars', 'score': 0.9228290319442749}"
5,"this bp monitor is really an excellent instrument which comes from omron. it is an automatic device, inwhich u just have to put the cuff around the solders and press start. with in seconds u ll get to know ur bp. i advice u to take atleast two reading to get more accurate values. overall its a good product from snapdeal.",omran 7120,"{'label': '1 star', 'score': 0.48840147256851196}"
4,Nice product,omran 7120,"{'label': '5 stars', 'score': 0.9590744376182556}"
5,goods received before date of delivery,omran 7120,"{'label': '1 star', 'score': 0.251137375831604}"
4,Perfect for home use. Simple and easy to use.,omran 7120,"{'label': '5 stars', 'score': 0.7581206560134888}"
3,Pros: Nice packaging and excellent next day delivery was given.,omran 7120,"{'label': '5 stars', 'score': 0.7182925343513489}"
5,perfect product for easy BP monitoring,omran 7120,"{'label': '5 stars', 'score': 0.9214399456977844}"
5,Good machine,omran 7120,"{'label': '5 stars', 'score': 0.7201202511787415}"
