Product_Review,predicted_gpt35
"Rating: 5, Comments: Little bit variation in every reading but it is negligible 5 to 10 point it is acceptable. Delivery was fast. Thanks to Snapdeal",positive
"Rating: 5, Comments: Very good product",positive
"Rating: 5, Comments: Excellent purchase",positive
"Rating: 5, Comments: Pls. Provided with covers",positive
"Rating: 4, Comments: Good product",positive
"Rating: 4, Comments: good and cheap product but gives one failure out of 5 time test",negative
"Rating: 5, Comments: Very nice useful",positive
"Rating: 5, Comments: Good product",positive
"Rating: 4, Comments: Good one.. nice product with ease to use approach",positive
"Rating: 5, Comments: Amazing Product.",positive
"Rating: 4, Comments: good and fine",positive
"Rating: 4, Comments: Good product",positive
"Rating: 5, Comments: I bought this . This is an great product. With accurate results. Go for it.  Thanks omron as well as Snapdeal .",positive
"Rating: 4, Comments: Thnks to snapdeal...deal very good.... accuracy to some extent....satisfied by the quality of product",positive
"Rating: 5, Comments: Nice product I am using",positive
"Rating: 5, Comments: VERY NICE AND EASY TO USE. PROMPT DELIVERY. THANK YOU SNAPDEAL",positive
"Rating: 3, Comments: gtvrbrhrbrh",negative
"Rating: 5, Comments: Good working",positive
"Rating: 5, Comments: Nice product",positive
"Rating: 5, Comments: Good work one-man 7120 blood pressure machine",positive
"Rating: 5, Comments: Good colecson",positive
"Rating: 5, Comments: Good product",positive
"Rating: 5, Comments: After 2 years of use of this product.  . . . Satisfied",positive
"Rating: 4, Comments: I love this product..its work very well.",positive
"Rating: 5, Comments: Go for it...",positive
"Rating: 4, Comments: I am happy to that my product reached here safely and packing was good",positive
"Rating: 5, Comments: Excellent product",positive
"Rating: 5, Comments: Very very good",positive
"Rating: 1, Comments: The product was not delivered. Received message that the item has been delivered.",negative
"Rating: 4, Comments: The item is supplied very before the estimated time. Good and thank you.",positive
"Rating: 3, Comments: The padngiven the product is very thin.",negative
"Rating: 5, Comments: Useful product",positive
"Rating: 1, Comments: Very bad.. Product work but the  
Packaging is open the protection sticker in screen as per SOP is removed..Please always advice your seller to always deliver sealed and new product..",negative
"Rating: 3, Comments: Good but delivery address is far",negative
"Rating: 4, Comments: Value of money",positive
"Rating: 5, Comments: Very good product",positive
"Rating: 4, Comments: Nice product",positive
"Rating: 4, Comments: good product",positive
"Rating: 4, Comments: Measures almost accurate. Serves the need and value for money.",positive
"Rating: 5, Comments: Ver very very very Good",positive
"Rating: 4, Comments: very good product for health",positive
"Rating: 5, Comments: I m satisfied.",positive
"Rating: 1, Comments: Very sad this product",negative
"Rating: 5, Comments: Very nice product",positive
"Rating: 4, Comments: GOOD PRODUCT",positive
"Rating: 5, Comments: Veery good product",positive
"Rating: 5, Comments: Great Support by Snapdeal for superfast delivery. As for the product, OMRON is the best in market.",positive
"Rating: 5, Comments: Awesome product",positive
"Rating: 5, Comments: Its a very good quality product. This product more useful those person who suffer by high or low blood pressure. And I thanks to snapdeal for given me best quality and fast delivery.",positive
"Rating: 5, Comments: Nice gooood plesaes purhrses this item",positive
"Rating: 5, Comments: Super quality",positive
"Rating: 5, Comments: Nice oneBP operator is super",positive
"Rating: 5, Comments: Exillent  and fully satisfied with product.",positive
"Rating: 4, Comments: They should give a monitor cover along with it with this price range",negative
"Rating: 5, Comments: Great browsing",positive
"Rating: 5, Comments: since last one year, no issues.",positive
"Rating: 5, Comments: So easey to use",positive
"Rating: 5, Comments: Thanks snepdeal",positive
"Rating: 1, Comments: Package was old and was looking like it is used product",negative
"Rating: 4, Comments: ProductProducts good worth for money",positive
"Rating: 5, Comments: Nice product..keep it up",positive
"Rating: 5, Comments: Good instrument,perfect monitoring",positive
"Rating: 4, Comments: Product is good and easy to USE.",positive
"Rating: 5, Comments: Good product",positive
"Rating: 5, Comments: The product has been delivered quickly. The pressure measurement is also consistent, but one has to place his arm properly in sitting position.",positive
"Rating: 4, Comments: Packing was very good.
It took little long time for dlivery...but safely delivered.
Priduct is very good and I am personally satisfied with accuracy.
This was my 4th purchase of omron bp machine. I have gifted to my relatives.

Only dficiency is..... This should have come with charger and chargeble battery.",positive
"Rating: 5, Comments: Very first and acurate result display in this machine",positive
"Rating: 4, Comments: No problems with it . Very good working . Measures blood pressure accurately and quickly. Extremely helpful product.
Love it.",positive
"Rating: 5, Comments: Delivery status no updates on website only after two days",negative
"Rating: 5, Comments: Best product",positive
"Rating: 3, Comments: Sometimes give wrong measurement",negative
"Rating: 4, Comments: Nice service and good product",positive
"Rating: 4, Comments: Good product worth buying",positive
"Rating: 5, Comments: Excellent purchasing experience. delivery was made  few days before the committed date.",positive
"Rating: 5, Comments: GOOD PRODUCT AND DELIVERY, THANKU SNAPDEAL
 I GOT GOOD EXPERIENCE WITH SNAPDEAL,",positive
"Rating: 5, Comments: The instrument works perfectly.",positive
"Rating: 5, Comments: Its a good product... It is very helpfull... On time delivery... 👍👍",positive
"Rating: 5, Comments: Delivery was on time with safe material.",positive
"Rating: 5, Comments: I first time use omron product BP machine.  I like it.",positive
"Rating: 1, Comments: This product is after one month not working well",negative
"Rating: 5, Comments: I want one more",positive
"Rating: 5, Comments: Speed delivery in just 3-4 days",positive
"Rating: 5, Comments: I received it three days after order and it was in an excellent condition.",positive
"Rating: 5, Comments: the things delivered which I ordered...no hera-pheri 
so 5 stars for best service...",positive
"Rating: 4, Comments: Delivered on time... reading is also quite good..branded & attractive...
Good but not best...",positive
"Rating: 1, Comments: PRODUCT IS TOTALLY WORTHLESS 

WRONG READING POP UP IN THE MONITOR NEVER SEEN SUCH A WASTE PRODUCT

DELIVERY AND PACKAGING OF SNAPDEAL IS UPTO THE MARK.",negative
"Rating: 2, Comments: inaccurate",negative
"Rating: 5, Comments: Thanks for snapdl",positive
"Rating: 5, Comments: Perfect Product",positive
"Rating: 4, Comments: Measurement is awsome",positive
"Rating: 5, Comments: Overall its good and easy to use. Accurate results. Only drawback is not saving more than one entry. It should store al least 10 entries. Nevermind.  Recommended product.",positive
"Rating: 5, Comments: Very good and genuine product",positive
"Rating: 5, Comments: Thank you Snapdeal for immediate delivery.
After using of 3 months , still no issue and help my parents alot.",positive
"Rating: 5, Comments: good product",positive
"Rating: 5, Comments: very quick,fast accurate comparing to my previous monitor. good product",positive
"Rating: 5, Comments: good product",positive
"Rating: 5, Comments: good product in this price",positive
"Rating: 4, Comments: very good product",positive
"Rating: 5, Comments: Great product...i got the product very early i mean 3 or 4 days before deliver date..product works perfectly,in the box you will also get battery for the machine,if you want a good blood pressure machine in affordable price then you should with that",positive
"Rating: 4, Comments: Item as per specification. Quick delivery.",positive
"Rating: 4, Comments: Good display and good results",positive
"Rating: 5, Comments: Very good........",positive
"Rating: 5, Comments: Good,Perfect.",positive
"Rating: 5, Comments: Very useful",positive
"Rating: 1, Comments: Don't buy it's waste of money",negative
"Rating: 5, Comments: i am happy about this product is accurate",positive
"Rating: 1, Comments: No Debit Card Option to pay on COD",negative
"Rating: 4, Comments: It's vry nice ... one touch reading,vry easy to work... that's fantastic product...Good deal with snapdeal .. thanku snapdeal",positive
"Rating: 4, Comments: its the same as shown in the photos worth buying this. Really good product go for it.",positive
"Rating: 5, Comments: best product, worth price",positive
"Rating: 5, Comments: WOW TO SELLER",positive
"Rating: 4, Comments: GOOD PRODUCT BUT SOMETIME READING IS NOT SHOWING. WE NEED TO DO MULTIPLE TIMES TO GET READING.",negative
"Rating: 4, Comments: Good product at good price",positive
"Rating: 4, Comments: This product help me on medical behalf",positive
"Rating: 5, Comments: Love it. Its much more than as expected.",positive
"Rating: 5, Comments: This gadget gives accurate results. I am completely satisfied with the purchase.",positive
"Rating: 5, Comments: Really amazing product. Purely branded and good performance. I really impressed with the product.",positive
"Rating: 5, Comments: It's very accurate to monitor bp highly recommend and affordable price by snap deal.belt is little shorter but rest is ok",positive
"Rating: 4, Comments: Easy to use. But lil bit big as compare to my wrist bp machine. But over all good experience. Working properly.",positive
"Rating: 5, Comments: I like this product",positive
"Rating: 5, Comments: Perfect Model with showing exact readings as compared with rossmax manual bp apparatus",positive
"Rating: 4, Comments: I use this monitor easy to use.  About accuracy i don't know. Run on 4 AA battery, having dc adaptor socket provided,  No adaptor with pack u have to purches it saperately. Overall nice thing each one have to have at there home as basic essential.",positive
"Rating: 4, Comments: Thnx omron",positive
"Rating: 5, Comments: I Use This Blood Pressure Monitor many time and get perfect result",positive
"Rating: 5, Comments: Is it possible to supply carpet to my address supply",negative
"Rating: 5, Comments: Good product, works well and is pretty easy to use",positive
"Rating: 5, Comments: Reasonable price, very good result",positive
"Rating: 5, Comments: Good product in that range. Faster delivery and good packing.",positive
"Rating: 5, Comments: Product was good.",positive
"Rating: 4, Comments: An excellent machine. The results are very close to that of mercury machine. I was advised by my doctor to purchase the machine. In fact he selected the model /type of the machine. I'm happy I followed his advice.",positive
"Rating: 5, Comments: God additional 10% discount on HDFC card Friday deals. Was Delivered in 6 days. Time will say on quality of product.",positive
"Rating: 5, Comments: Nyc product",positive
"Rating: 5, Comments: Very nice product at a decent price.",positive
"Rating: 5, Comments: Good Product",positive
"Rating: 3, Comments: This product is 2 good for checking bp...I loved it",positive
"Rating: 5, Comments: This product is amazing...it monitors heart rate as well with full accuracy. Love this product.",positive
"Rating: 5, Comments: Very good product",positive
"Rating: 5, Comments: Snapdeal ...... The best.  Go for it",positive
"Rating: 5, Comments: Omron Hem-7120 Blood pressure monitor showing blood pressure count is 99% correct. I have cheked and compared this monitor with other hospital blood pressure monitor, both are equal ! really  preferble item .",positive
"Rating: 4, Comments: nice in look and good product",positive
"Rating: 5, Comments: thanks for your quick responce and for the good services....................................................................",positive
"Rating: 5, Comments: very useful in day to day checkup",positive
"Rating: 4, Comments: Satisfied with the product",positive
"Rating: 3, Comments: Really good service",positive
"Rating: 3, Comments: product quality and price is very good. but delivery too late. I was order on 10/12/16
Delivery 21/12/16",negative
"Rating: 4, Comments: Omron BP monitor is good. Deal was excellent. Packaging should have been much better. bit disappointment on the packaging.",negative
"Rating: 5, Comments: Good!best product",positive
"Rating: 4, Comments: Good product. Easy to use. Must have product",positive
"Rating: 1, Comments: BP LEVEL CHANGED EVERY TIME FOR A SAME PERSON. I GO TO A DOCTOR'S CHAMBER. HE CHECKED MY BP 160/82 BUT OMRON 7120 SHOWED EVERY TIME DIFFERENT VALUE. VERY BAD PRODUCT.",negative
"Rating: 5, Comments: Good one, worth buying!",positive
"Rating: 5, Comments: Very fine quality of product but poor packing. I received it in loose and broken packing.",negative
"Rating: 4, Comments: Working Satisfactory",positive
"Rating: 5, Comments: Very nice effective and usefuul machine. Snapdeal great",positive
"Rating: 5, Comments: Very nicesuperb qualty",positive
"Rating: 4, Comments: product is good in range and good delivery by snapdeal",positive
"Rating: 5, Comments: accurate 99% only",positive
"Rating: 5, Comments: Nice packing and  also 75% accuracy.",positive
"Rating: 3, Comments: Very fragile button and body",negative
"Rating: 5, Comments: Good quality and True value of Money product. I like it.",positive
"Rating: 5, Comments: original product; delivered on time (actually before..:) ); excellent experience every time since 3 years..

thumbs up!!",positive
"Rating: 5, Comments: Product is good let us see how it performs",positive
"Rating: 5, Comments: Happy with the purchase.product is as described and it works fine",positive
"Rating: 5, Comments: Excellent product for B P patient. But shows some error reading if checking is done several times in a day. Perfect reading if monitor once a day in a regular time.",negative
"Rating: 3, Comments: Its calculator is not upto the mark.",negative
"Rating: 4, Comments: Very nice product. Quick delivery",positive
"Rating: 1, Comments: NOT AS EXPECTED",negative
"Rating: 5, Comments: good....................",positive
"Rating: 5, Comments: good Product",positive
"Rating: 5, Comments: Well had many bad experiences with snapdeal but this transaction was smooth and a very good product was delivered. Good work snap deal and u improved a lot.",positive
"Rating: 1, Comments: i am 20 year old its showing my bp is 201/110 ..................too funny",negative
"Rating: 5, Comments: Good product, good service",positive
"Rating: 4, Comments: Good n convenient",positive
"Rating: 5, Comments: +-5% Accuracy",positive
"Rating: 3, Comments: But accuracy is issue with this monitor",negative
"Rating: 5, Comments: Delivary is excellent considering remotness.",positive
"Rating: 5, Comments: Shows Blood Pressure and HeartRate",positive
"Rating: 5, Comments: Quality product and delivery is exactly i was expect",positive
"Rating: 4, Comments: Omron is branded company worth it",positive
"Rating: 5, Comments: VERY GOOD PRODUCT",positive
"Rating: 4, Comments: SATISFIED WITH THE PRODUCT.",positive
"Rating: 5, Comments: it is perfect",positive
"Rating: 4, Comments: Good u can buy",positive
"Rating: 5, Comments: Worth buying",positive
"Rating: 5, Comments: Nice product. Product as mentioned.",positive
"Rating: 4, Comments: Good for Home",positive
"Rating: 5, Comments: fully satisfied purchase",positive
"Rating: 5, Comments: Best product for home use and also snapdeal delivery was as usual super",positive
"Rating: 5, Comments: nice product and very useful",positive
"Rating: 5, Comments: Its a good range you have there. Even though the model which doctor recommended 7213 was not present.",positive
"Rating: 5, Comments: Very simple and user friendly for any body to use to find their blood pressure. There is no need to have a stethoscope to find the pulse. Thanks to omron and special thanks to Snap Deal. Excellent pack and delivery.",positive
"Rating: 4, Comments: I am happy after purchase this from snapdeal.",positive
"Rating: 4, Comments: WODER FUL PRODUCT",positive
"Rating: 5, Comments: no complaints so far",positive
"Rating: 5, Comments: Very nice product. Good transit packaging by snapdeal.",positive
"Rating: 5, Comments: Awesome product",positive
"Rating: 5, Comments: Product is excellent but sipping is late.",negative
"Rating: 5, Comments: Its good accurate machine and delivery on time,good experience wuth best pricing",positive
"Rating: 5, Comments: i am satisfied",positive
"Rating: 5, Comments: very good as advertised",positive
"Rating: 4, Comments: Very good product , useful for home usage",positive
"Rating: 4, Comments: VERY GOOD PRODUCT AND THAT TOO AT REASONABLE PRICE",positive
"Rating: 5, Comments: User friendly, awesome product....",positive
"Rating: 3, Comments: Average product. Readings not reliable...Changes frequently...",negative
"Rating: 5, Comments: Delivered in time. The product received in perfect condition and at the competitive price.",positive
"Rating: 1, Comments: Good service snapdeal",positive
"Rating: 5, Comments: It is good. Simple and convenient. Easy to use. It is reliable.",positive
"Rating: 5, Comments: Product is good, compact & reliable, fast delivery by snapdeal  👍",positive
"Rating: 5, Comments: easy to use",positive
"Rating: 5, Comments: this bp monitor is really an excellent instrument which comes from omron. it is an automatic device, inwhich u just have to put the cuff around the solders and press start. with in seconds u ll get to know ur bp. i advice u to take atleast two reading to get more accurate values. overall its a good product from snapdeal.",positive
"Rating: 4, Comments: Nice product",positive
"Rating: 5, Comments: goods received before date of delivery
 i am very happy with snap deal",positive
"Rating: 4, Comments: Perfect for home use. Simple and easy to use.",positive
"Rating: 3, Comments: Pros: Nice packaging and excellent next day delivery was given.

FeedBack: The machine can be used to measure BP for personal usage and assist in deciding if the doctor visit is required or not. My recommendation will be to take 5 readings at a gap of 3-4 minutes between readings. When I have tested it, the readings came in this order:
120/81  
109/79
129/82
117/79
112/78
While measuring the BP, the fluctuations were there of +-20 on the very first day. It was difficult to decide which one is right reading. I will try taking some readings for few days and will check the reliability of electronic BP measuring machines for accurately measuring BP. I hope the device is not faulty giving the variation of +-20 in its readings, as I have used the one in my office which shows the variation of +-2 only in its readings.",negative
"Rating: 5, Comments: perfect product for easy BP monitoring",positive
"Rating: 5, Comments: Good machine",positive
"Rating: 4, Comments: Awesome product.Working good.build quality is v.good.it can measure the bp in a few seconds i.e. not taking time .Go for this product.This product do not offer you the memory to store your previous reading of bp.But i dont think so it matters.",positive
"Rating: 5, Comments: Good product. Nd specialy the delivery was too fast that was not expected",positive
"Rating: 5, Comments: Nice and easy to use",positive
"Rating: 5, Comments: Excellent delivery by Snapdeal Courier partner received within 2 days after ordering  the product. Thank you, Snapdeal. It is the best among all similar kind of products. It also gives a storage memory. So, it is worth for its price.",positive
"Rating: 5, Comments: Amazing product. Totally satisfied with the product",positive
"Rating: 4, Comments: Useful product.....",positive
"Rating: 5, Comments: Its useful product with 
reasonable price",positive
"Rating: 5, Comments: Very easy to use and helpful.",positive
"Rating: 5, Comments: Awsome woooooww",positive
"Rating: 4, Comments: Good, but if we got rechargable battery it would be good",positive
"Rating: 5, Comments: It shows  higher accuracy after I checked with other small/big medicals BP monitors. Till I'm not found any probs. Thanks",positive
"Rating: 5, Comments: value for money",positive
"Rating: 5, Comments: Fastes delivery ever. Thank you snapdeal. Product is so good.",positive
"Rating: 5, Comments: Good product and good delivery",positive
"Rating: 5, Comments: This is perfect product for home use. I am happy for early delivery and quality of the product. Thanx sd.",positive
"Rating: 5, Comments: it was an excelent product by sd",positive
"Rating: 4, Comments: Very nice product,easy to use,portable,reasonable price, but arm cuff is small for healthy person",negative
"Rating: 3, Comments: There is no memory provision in this BP monitor. Plus point is that it is accurate and easy to use",positive
"Rating: 4, Comments: Excellent product. Value for money.",positive
"Rating: 5, Comments: `This is a standard product. Before use check readings with some doctor's machine and then use.",negative
"Rating: 4, Comments: Accurate measurement, at a cheap rate",positive
"Rating: 5, Comments: Very Good product quality. It is very easy to use. Delivery is also quick by Snapdeal.  
Happy with product and Snapdeal delivery.",positive
"Rating: 5, Comments: This product is very easy to use. I recommend this to all who need a hassle-free product.",positive
"Rating: 5, Comments: Dont buy costly machines, they have same technology, they just provide one zip bag and memory of last readings and light in display, this is best product in this price range",negative
"Rating: 5, Comments: The monitor is perfect. Shows real reading of BP (cross checked with doctor). Its hazel free and quick. Happy with the product. Thank you Snapdeal for providing best service at lowest price.",positive
"Rating: 4, Comments: This machine is really good and simple to use. Reading are roughly good indicator in broad range of BP (not accurate). This surely gives a quick first understanding on patients BP which can later be consulted with Doctor for medical advise

Good and timely delivery from Snapdeal.",positive
"Rating: 5, Comments: product is ok, word of advice, keep the instrument at chest level for correct measurement",positive
"Rating: 4, Comments: Fast delivery \ Nice Product !",positive
"Rating: 4, Comments: I m happy with this product. Its easy to use n nice looking n gives accurate results. Thanks snapdeal",positive
"Rating: 5, Comments: It's really good",positive
"Rating: 5, Comments: Nice N easy to use",positive
"Rating: 4, Comments: Happy with the product but delivery (courier company) isn't good. Finally got the product.",negative
"Rating: 5, Comments: Accurate measurement - Got the BP and pulse reading cross checked at the same time, with my family physician. The reading of omoron unit and doctors conventional bp testing apparatus matched almost to near perfection.

Convenience - Very easy to use, Light weight and handy.

Recommended - Was recommended to buy the product by my family physician and also a friend who is a specialist surgeon.

Overall very happy with the product and with Snapdeal for ease of purchase and timely delivery.",positive
"Rating: 5, Comments: Very imp product for home use must have in home",positive
"Rating: 5, Comments: Nice and delivered well in time.",positive
"Rating: 4, Comments: Overall Good...It would have been great if an 6V DC Adapter would have given along with this. The Start & Stop button is so Sub Standard....just a gentle touch can get that started....rest seems to be fine as of now....!!",negative
"Rating: 5, Comments: Finest in quality",positive
"Rating: 5, Comments: Delivered within 24 hrs and product is new and easy to use",positive
"Rating: 5, Comments: awesome best deal on snap deal",positive
"Rating: 4, Comments: Easy to use and timely delievery,thank you.",positive
"Rating: 5, Comments: High price,but quality is good.",positive
"Rating: 4, Comments: good product, helps in routine checkup",positive
"Rating: 3, Comments: Show eratic results.",negative
"Rating: 4, Comments: Product is very good and effective measures and accuracy will b checked by regular use.. so far so goofld",positive
"Rating: 5, Comments: Excellent Product With the touch of button can measure BP and related information. Be health conscious and stay healthy.",positive
"Rating: 4, Comments: good product",positive
"Rating: 5, Comments: Good product",positive
"Rating: 4, Comments: hand band is small not fitting V Fat people",negative
"Rating: 5, Comments: The BP monitoring unit is hurdle free in usage. Functions are very simple to use and convenient for elders. It doesn't come with AC Adapter. It works on 4 AA sized batteries. The circumference of Arm Cuff makes it best fitted.",positive
"Rating: 5, Comments: good product",positive
"Rating: 5, Comments: Everyone should have this product in home. very reliable and easy to use.",positive
"Rating: 5, Comments: Really a nice one",positive
"Rating: 5, Comments: Very good product",positive
"Rating: 4, Comments: good product",positive
"Rating: 5, Comments: the delivery was too fast",positive
"Rating: 5, Comments: Excellent and worth",positive
"Rating: 5, Comments: Very good product",positive
"Rating: 5, Comments: Very use full",positive
"Rating: 5, Comments: glad to receive the BP apparatus.  Can check anytime of the day.night.",positive
"Rating: 4, Comments: Not sure if all the readings are correct",negative
"Rating: 5, Comments: Nice Product",positive
"Rating: 5, Comments: its so simple and easy to use",positive
"Rating: 5, Comments: Quite satisfied as it was delivered the very next day of when I ordered. But there was a huge difference in the readings it showed. So I would advice people to go for second opinion from their family doctors too. It's a machine and only an electronic device. The only plus point is its handy and user friendly, and gives you an estimated digits of the blood pressure. But the reading is not accurate!",negative
"Rating: 5, Comments: Very simple and compact design, comfortable and adjustable velcro hand band, easy to use, wear hand band -attach cable and press power button, fast check up, shows bp and pulse, can work on dc batteries/ac.",positive
"Rating: 5, Comments: It's a really good machine with simpler handling.",positive
"Rating: 3, Comments: very good one ,for general purpose ,, but price is little bit higher",negative
"Rating: 4, Comments: Im happy with this product..Product delivered on time..Good service snapdeal",positive
"Rating: 3, Comments: Got the product on 8th July. its not bad... 
monitor shows different BP value for every time..
i.e.firse time monitor displays BP is 125 by 78 and  for 2nd time it displays BP 133 by 82  for me. 
Why",negative
"Rating: 4, Comments: Product is upto mark. I was using this product for the last 6 months in my family. So bought it again as I was fully satisfied with the results",positive
"Rating: 4, Comments: Easy to use and accurate.",positive
"Rating: 4, Comments: Helped me and my dad to keep a tab on the pressure.",positive
"Rating: 5, Comments: Good one for good price",positive
"Rating: 5, Comments: Very good product.snapdeal is very quick and good service",positive
"Rating: 5, Comments: Easy to operate",positive
"Rating: 5, Comments: It's good seriously",positive
"Rating: 5, Comments: Its good..",positive
"Rating: 5, Comments: Nice delivery by snap deal.i have purchased so many items through snap deal it is a best online site..",positive
"Rating: 4, Comments: Its very good product and very  much usefull for family.",positive
"Rating: 5, Comments: Excellent service from snapdea. 5 stars for the product. Its very useful product.",positive
"Rating: 3, Comments: I purchased Omron Hem-7120 product. The reading is widely different on each occasion. It is not a stable product.
The courier service of Snapdeal in my area (PIN 700 074) is not good. The delivery gentleman is arrogant and does not have primary knowledge about our area / locality.",negative
"Rating: 5, Comments: Product is in very good Condition n packing is also good...at affordable price. Works pretty good then axpected",positive
"Rating: 5, Comments: I bought the above and using for the last few days. It is really good and very useful.",positive
"Rating: 4, Comments: Its fine for regular use at home. Even older people can use it easily as its very easy to use.",positive
"Rating: 5, Comments: This is a very good product",positive
"Rating: 4, Comments: no complaint with service.",positive
"Rating: 5, Comments: Good product for daily BP Measurement. working fine.",positive
"Rating: 4, Comments: My uncle is using it and he is saying its a gud machine to monitor BP",positive
"Rating: 5, Comments: Runing 15days without any problem....think it's nice one",positive
"Rating: 5, Comments: Very Good.  Good for home use.  Gives you a nice idea of your BP.  Doing at least three times is recommended at interval of 2 minutes at same arm and the average of the three readings gives you a more accurate reading of your BP.",positive
"Rating: 5, Comments: I order this product from snapdeal and its very good product for daily use and snapdeal give very big discount on this product and the service is very fast snapdeal delivered my order in just 2/5days only the service is very fast I love to shop on snapdeal and I m very old customers of snapdeal and I have very big trust on snapdeal 
thanks you snapdeal 

Moazzam khan",positive
"Rating: 5, Comments: Good service",positive
"Rating: 5, Comments: delivered on time , again very good experience at snap deals...",positive
"Rating: 4, Comments: Usefull @ home",positive
"Rating: 5, Comments: User Friendly with almost Accurate Reading",positive
"Rating: 5, Comments: Value for money",positive
"Rating: 4, Comments: very nice product",positive
"Rating: 5, Comments: Product is good and delivery by snapdeal is fast as always.",positive
"Rating: 5, Comments: It is very Nice & regional Prize .",positive
"Rating: 4, Comments: Working fine... No issues till yet",positive
"Rating: 5, Comments: Good product to have one in home",positive
"Rating: 5, Comments: Very good product every hypertension patient have to buy it it's so easy a kid can also handle it",positive
"Rating: 4, Comments: Good product,easy to use .....",positive
"Rating: 1, Comments: Not giving correct value",negative
"Rating: 5, Comments: It Is Giving Perfect Rating...
Good Product...,..",positive
"Rating: 5, Comments: Good item but slow delivery :)",positive
"Rating: 4, Comments: It is okay to have to have a close idea on the actual number. But one will need an additional thing to charge the batteries.",negative
"Rating: 4, Comments: This is very useful to us",positive
"Rating: 5, Comments: user friendly product and easy to  use",positive
"Rating: 5, Comments: Must have instrument",positive
"Rating: 5, Comments: Very good product",positive
"Rating: 4, Comments: It is a good BP monitor for home purpose",positive
"Rating: 4, Comments: Product is good enough as per specs  and packaging is excellent",positive
"Rating: 5, Comments: Its better beyond expectations....",positive
"Rating: 4, Comments: A good product, well put together, just a bit unhappy with the exterior packaging which seemed to be in crushed condition.  Instrument works well.  Easy to use.  Pricing fine.  Readings do seem to vary a fair bit when taken successively, wish there is a way to benchmark for accuracy",negative
"Rating: 4, Comments: Based on cost, its good.",positive
"Rating: 5, Comments: Good Product for health excelent delivery",positive
"Rating: 5, Comments: Very good and reliable. Best product quality.",positive
